Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
25,1,20,7,2,20,20,21,31,40,53,14,9,4,7,12,4,5,33,34,29,21,55,55,20,20,2.33,0.83,1,0,0,0,0,0,Away
11,1,20,3,9,20,18,19,32,26,47,11,9,5,4,6,8,5,30,15,21,18,64,33,33,52,3.0,1.83,1,0,0,0,0,0,Draw
19,1,17,1,20,20,18,20,50,14,50,14,16,2,0,3,5,12,53,16,10,36,77,8,34,42,4.0,0.83,0,0,1,0,0,0,Home
13,1,21,7,19,20,17,18,27,13,50,11,8,3,6,3,4,11,30,16,26,29,44,22,22,29,5.33,2.66,0,0,0,1,0,0,Draw
20,1,17,16,9,20,20,19,18,28,53,14,3,9,8,8,4,7,20,32,28,29,20,48,55,20,3.33,1.33,0,0,0,1,0,0,Away
20,1,21,3,4,20,20,20,36,34,53,14,10,6,4,9,7,4,31,33,23,24,49,61,37,30,2.16,1.0,0,0,0,1,0,0,Away
16,1,19,19,8,20,19,19,14,29,50,11,3,5,11,8,5,6,17,14,30,17,42,18,30,25,3.16,1.33,0,0,0,0,0,1,Draw
12,1,20,20,5,20,18,18,11,30,47,11,2,5,11,8,6,4,14,28,34,22,14,55,35,27,2.16,0.83,0,0,1,0,0,0,Away
20,1,19,12,18,20,19,19,25,17,53,14,6,7,6,4,5,10,22,17,22,32,41,27,35,20,2.16,0.66,0,0,0,1,0,0,Home
16,1,19,14,3,20,19,19,21,33,50,11,5,6,8,9,6,4,18,31,29,22,30,55,37,30,3.33,1.16,0,0,0,0,0,1,Draw
11,1,19,16,2,20,19,19,18,34,47,11,3,9,7,10,4,5,19,29,25,19,18,55,55,18,2.0,0.83,1,0,0,0,0,0,Away
12,1,20,10,13,20,18,17,26,22,47,11,7,5,6,5,7,5,13,20,17,20,44,29,29,51,1.66,1.16,0,0,1,0,0,0,Home
16,1,21,4,9,20,19,18,33,28,50,11,9,6,4,8,4,6,29,31,22,27,58,52,33,19,2.5,1.16,0,0,0,0,0,1,Home
8,1,19,14,4,20,17,17,20,30,47,11,5,5,7,8,6,3,24,25,25,13,35,48,35,41,2.66,1.0,0,0,0,0,1,0,Home
20,1,17,15,14,20,19,20,20,23,53,14,4,8,7,6,5,9,21,26,24,27,37,25,25,42,2.16,0.66,0,0,0,1,0,0,Home
19,1,20,10,6,20,20,20,27,30,50,14,6,9,5,8,6,6,16,15,19,18,30,42,49,37,1.16,0.66,0,0,1,0,0,0,Draw
15,1,19,15,13,20,18,18,20,22,50,11,4,8,6,5,7,6,20,20,22,21,26,33,46,46,2.33,1.16,0,0,0,0,1,0,Away
26,1,20,20,12,20,21,21,14,28,53,14,3,5,13,6,10,5,16,17,45,20,18,30,30,49,2.66,1.0,0,0,1,0,0,0,Away
21,1,20,5,2,20,20,20,35,39,44,13,9,8,3,11,6,3,20,36,12,19,73,55,25,30,2.5,0.66,0,1,0,0,0,0,Away
18,1,20,1,6,20,19,20,44,32,44,13,14,2,3,8,8,4,33,24,12,16,84,33,6,52,2.83,1.33,1,0,0,0,0,0,Away
18,1,20,4,15,20,20,20,34,22,44,13,9,7,4,6,4,10,26,17,17,32,42,37,42,25,2.5,1.5,1,0,0,0,0,0,Away
26,1,15,2,17,20,22,22,45,21,45,16,13,6,3,6,3,13,38,15,19,27,68,30,30,13,3.33,1.16,0,0,1,0,0,0,Home
25,1,20,20,11,20,20,21,13,29,44,13,3,4,13,8,5,8,12,27,28,18,13,33,26,26,2.33,1.33,1,0,0,0,0,0,Home
18,1,20,17,13,20,20,20,20,24,44,13,6,2,12,6,6,8,15,21,26,26,37,25,30,13,3.33,1.83,1,0,0,0,0,0,Draw
12,1,15,2,9,20,19,19,38,29,44,13,11,5,3,9,2,8,35,26,18,19,68,61,30,13,2.16,1.5,0,0,1,0,0,0,Draw
