Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
18,1,20,7,2,18,17,17,25,36,42,11,6,7,4,11,3,3,32,36,23,18,39,64,46,19,3.0,1.66,1,0,0,0,0,0,Away
26,1,15,1,17,18,18,18,45,11,45,11,14,3,1,2,5,11,45,17,18,36,90,7,14,27,3.16,1.5,0,0,1,0,0,0,Home
26,1,15,3,15,18,18,18,36,15,45,11,11,3,4,3,6,9,37,26,18,31,69,20,14,35,2.5,1.0,0,0,1,0,0,0,Home
26,1,18,9,5,18,18,18,25,30,45,11,7,4,7,9,3,6,29,37,29,24,35,55,27,20,2.83,1.16,0,0,1,0,0,0,Draw
20,1,18,14,6,18,17,17,18,28,45,11,5,3,9,8,4,5,20,27,24,22,55,35,27,20,2.16,0.83,0,0,0,1,0,0,Home
25,1,20,7,12,18,18,18,27,21,45,11,7,6,5,6,3,9,29,22,28,25,35,35,41,20,1.83,0.66,1,0,0,0,0,0,Draw
19,1,15,9,3,18,17,17,24,33,42,11,7,3,7,10,3,4,26,36,29,18,62,55,20,14,3.5,1.0,0,0,1,0,0,0,Away
26,1,15,13,8,18,18,18,21,25,45,11,5,6,7,6,7,5,22,33,28,26,35,35,41,48,3.0,1.16,0,0,1,0,0,0,Away
26,1,15,6,11,18,18,18,28,24,45,11,8,4,6,7,3,8,28,26,24,30,55,48,27,20,3.83,1.33,0,0,1,0,0,0,Away
19,1,15,16,12,18,17,17,14,21,42,11,4,2,11,5,6,6,12,17,35,22,27,27,41,14,2.5,0.83,0,0,1,0,0,0,Away
19,1,15,17,10,18,17,17,11,22,42,11,2,5,10,6,4,7,17,28,35,29,7,41,27,20,2.83,1.16,0,0,1,0,0,0,Away
27,10,13,12,4,18,8,8,9,16,20,5,2,3,3,5,1,2,4,15,8,9,37,82,37,0,3.33,1.83,0,0,1,0,0,0,Away
21,10,16,5,10,18,7,7,14,9,20,5,4,2,1,2,3,2,15,4,9,4,55,14,27,41,1.33,0.66,0,0,0,1,0,0,Home
20,10,13,17,1,18,7,7,5,17,17,5,1,2,4,5,2,0,6,23,13,8,63,31,31,31,3.83,2.33,0,0,1,0,0,0,Away
27,10,16,9,17,18,8,8,10,5,20,5,3,1,4,1,2,5,14,6,13,17,79,31,0,63,3.0,1.16,0,0,1,0,0,0,Home
21,10,13,6,12,18,7,7,14,8,20,5,4,2,1,2,2,3,12,9,7,13,49,25,37,0,2.33,0.66,0,0,0,1,0,0,Draw
20,10,13,9,7,18,7,7,9,13,17,5,2,3,2,4,1,2,10,12,11,8,22,88,22,0,3.5,1.5,0,0,1,0,0,0,Away
