Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Result
3,1,21,18,4,20,16,16,15,29,37,8,3,6,7,9,2,5,17,24,21,19,16,63,47,8,2.66,0.83,0,0,0,0,1,0,0,Draw
13,1,18,1,16,20,19,19,43,22,43,11,13,4,2,5,7,7,52,21,20,27,69,35,27,41,4.5,1.5,0,0,0,1,0,0,0,Home
6,1,20,7,1,20,17,17,25,37,37,11,6,7,4,11,4,2,18,48,13,19,35,62,48,27,2.83,1.83,0,0,0,1,0,0,0,Away
19,1,16,4,3,20,19,19,33,33,43,11,10,3,6,9,6,4,28,31,24,20,55,61,37,13,4.5,2.16,0,0,1,0,0,0,0,Home
13,1,20,7,5,20,18,18,26,30,40,11,7,5,6,9,3,6,21,26,21,23,42,55,30,13,4.33,2.0,0,0,0,1,0,0,0,Away
13,1,12,2,11,20,18,18,35,23,40,11,9,8,1,6,5,7,26,30,13,34,64,39,39,33,3.33,1.33,0,0,0,1,0,0,0,Home
6,1,18,5,15,20,17,17,30,19,37,11,9,3,5,5,4,8,26,18,21,20,55,27,14,35,3.66,1.83,0,0,0,1,0,0,0,Away
26,1,20,9,19,20,20,20,26,18,46,11,5,11,4,3,9,8,19,21,18,26,25,18,61,42,1.66,1.0,0,0,1,0,0,0,0,Home
12,1,16,12,15,20,18,18,22,21,40,11,4,10,4,5,6,7,16,16,16,20,20,35,69,41,2.83,1.66,0,0,1,0,0,0,0,Draw
26,1,13,4,10,20,20,20,33,26,46,11,9,6,5,7,5,8,31,32,22,35,55,37,37,30,3.33,1.83,0,0,1,0,0,0,0,Home
26,1,16,2,6,20,20,20,41,31,46,11,11,8,1,8,7,5,30,25,13,16,61,42,42,42,1.33,0.83,0,0,1,0,0,0,0,Home
7,1,21,14,18,20,17,17,21,16,40,11,5,6,6,2,10,5,28,16,26,24,35,14,48,62,2.66,1.16,0,1,0,0,0,0,0,Away
12,1,20,19,7,20,18,18,17,25,40,11,3,8,7,6,7,5,19,19,23,15,37,18,42,49,2.0,0.5,0,0,1,0,0,0,0,Away
6,1,16,3,2,20,17,17,32,34,37,11,9,5,3,9,7,1,30,25,17,12,62,62,27,41,3.5,0.83,0,0,0,1,0,0,0,Draw
19,1,20,17,11,20,19,19,21,23,43,11,5,6,8,4,11,4,31,17,32,17,30,25,37,61,3.33,1.16,0,0,1,0,0,0,0,Away
14,1,21,12,9,20,18,18,22,24,43,11,6,4,8,7,3,8,20,19,20,24,42,30,18,30,3.33,1.33,0,1,0,0,0,0,0,Home
4,1,19,10,9,20,17,17,22,22,37,8,6,4,7,5,7,5,28,18,32,20,26,46,46,26,2.5,0.66,1,0,0,0,0,0,0,Draw
5,1,13,12,19,20,17,17,21,13,37,8,5,6,6,3,4,10,16,17,19,32,35,20,35,27,2.5,1.16,0,0,1,0,0,0,0,Away
21,1,21,16,12,20,19,19,22,24,46,11,5,7,7,7,3,9,21,21,28,27,24,31,47,24,3.33,1.5,0,1,0,0,0,0,0,Home
20,1,18,12,14,20,19,19,23,22,43,11,6,5,8,5,7,7,30,17,35,21,37,25,30,42,3.16,1.5,0,0,0,1,0,0,0,Home
20,1,16,19,15,20,19,19,17,22,43,11,3,8,8,4,10,5,20,20,25,25,18,13,61,49,2.33,0.66,0,0,0,1,0,0,0,Draw
20,1,18,18,9,20,19,19,19,25,43,11,5,4,10,7,4,8,22,23,34,22,30,37,18,25,3.16,1.5,0,0,0,1,0,0,0,Draw
6,1,12,13,17,20,17,17,21,16,37,11,5,6,6,3,7,7,21,19,25,23,35,20,41,48,2.83,1.16,0,0,0,1,0,0,0,Draw
25,1,21,17,9,22,22,22,23,33,43,16,5,8,9,9,6,7,24,26,30,26,44,27,27,38,2.5,1.16,1,0,0,0,0,0,0,Home
7,1,18,14,12,22,19,19,22,24,39,16,5,7,7,6,6,7,20,20,23,24,29,24,29,40,2.16,1.16,0,1,0,0,0,0,0,Away
19,1,20,3,14,22,21,21,39,23,40,16,12,3,6,5,8,8,24,19,16,21,38,27,38,38,1.66,0.5,0,0,1,0,0,0,0,Home
13,1,18,15,4,22,20,20,22,36,40,16,5,7,8,11,3,6,22,22,26,16,33,60,44,16,3.33,2.0,0,0,0,1,0,0,0,Away
26,1,18,17,13,22,23,23,25,27,43,16,5,10,8,6,9,8,22,27,29,30,22,27,38,44,2.16,0.66,0,0,1,0,0,0,0,Draw
20,1,12,4,8,22,22,22,38,33,42,16,11,5,6,9,6,7,29,26,24,21,49,49,27,27,3.5,1.5,0,0,0,1,0,0,0,Home
13,1,16,6,10,22,20,20,34,28,40,16,10,4,6,7,7,6,22,25,15,21,66,38,22,38,1.33,0.66,0,0,0,1,0,0,0,Draw
12,1,20,12,16,22,20,20,27,22,40,16,7,6,7,4,10,6,23,18,26,24,38,16,27,60,2.0,1.16,0,0,1,0,0,0,0,Home
20,1,16,12,6,22,21,21,27,35,42,16,6,9,6,10,5,6,20,22,18,15,60,38,22,38,1.5,0.66,0,0,0,1,0,0,0,Home
19,1,18,13,21,22,22,22,26,18,42,16,6,8,8,3,9,10,26,26,29,40,22,33,38,33,3.0,1.66,0,0,1,0,0,0,0,Home
