Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Result
7,1,20,14,4,18,15,15,15,34,39,9,4,3,8,11,1,3,18,32,22,16,37,73,22,7,3.16,1.0,0,1,0,0,0,0,0,Home
18,1,20,17,1,18,17,17,12,43,43,12,3,3,11,14,1,2,12,34,24,10,33,91,19,6,3.16,1.0,1,0,0,0,0,0,0,Away
2,1,19,4,15,18,14,14,30,11,36,7,9,3,2,3,2,9,28,8,16,18,71,31,16,8,2.5,1.66,0,0,0,0,0,0,1,Home
19,1,19,4,7,18,17,17,35,28,46,12,11,2,4,9,1,7,33,18,18,21,69,62,14,7,2.66,1.33,0,0,1,0,0,0,0,Home
19,1,19,16,3,18,17,17,15,36,48,12,4,3,10,11,3,3,17,35,30,20,27,75,20,14,3.5,1.66,0,0,1,0,0,0,0,Home
18,1,19,12,3,18,17,17,19,37,43,12,5,4,8,11,4,2,19,32,30,17,35,69,27,27,3.83,2.5,1,0,0,0,0,0,0,Away
6,1,18,4,10,18,15,15,32,19,39,8,10,2,3,5,4,6,31,24,15,25,84,34,17,34,3.16,0.83,0,0,0,1,0,0,0,Home
21,1,18,4,18,18,17,17,29,12,38,12,9,2,6,1,9,7,37,19,28,28,55,7,14,62,3.33,0.83,0,1,0,0,0,0,0,Away
7,1,22,1,11,18,15,15,39,19,39,9,13,0,2,5,4,6,31,18,9,26,94,39,0,31,3.66,2.0,0,1,0,0,0,0,0,Home
6,1,21,3,13,18,15,15,33,16,39,8,10,3,2,4,4,7,30,12,16,17,71,24,24,31,2.5,1.0,0,0,0,1,0,0,0,Home
26,1,19,1,13,18,18,18,49,18,49,15,16,1,1,5,3,10,62,21,10,28,103,27,0,20,2.33,1.33,0,0,1,0,0,0,0,Home
20,1,14,15,1,18,17,17,17,48,48,12,4,5,8,16,0,1,19,60,36,8,110,110,0,0,2.66,1.16,0,0,0,1,0,0,0,Draw
20,1,16,2,10,18,17,17,46,20,48,12,15,1,1,5,5,7,60,36,8,39,96,35,7,35,3.66,1.66,0,0,0,1,0,0,0,Draw
14,1,18,12,4,16,14,14,14,24,41,5,4,2,8,8,3,3,11,22,20,7,27,64,18,27,2.0,0.66,0,1,0,0,0,0,0,Away
18,1,20,5,14,18,17,17,26,16,48,12,7,5,5,4,4,9,27,23,21,45,48,20,35,27,2.16,1.33,1,0,0,0,0,0,0,Home
18,1,22,5,2,18,17,17,28,38,43,12,8,4,5,12,2,3,22,37,17,17,55,75,27,14,3.16,1.5,1,0,0,0,0,0,0,Away
18,1,20,6,1,16,21,21,33,48,48,14,8,9,4,14,6,1,32,49,24,19,47,79,39,31,2.33,0.83,1,0,0,0,0,0,0,Away
23,1,20,5,12,12,21,21,36,10,42,10,11,3,7,2,4,15,26,15,26,46,77,11,22,0,2.66,1.33,0,0,0,0,0,0,1,Away
23,1,20,1,11,12,20,21,42,12,42,10,13,3,4,3,3,15,46,15,14,39,77,11,11,0,3.0,1.16,0,0,0,0,0,0,1,Home
