Weekday,Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,Team_1_Found,Team_2_Found,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2
Fri,18,1,20,7,2,18,17,17,25,36,42,11,6,7,4,11,3,3,32,36,23,18,9,18,1899 hoffenheim,bayern munchen,39,64,46,19,3.0,1.66,1,3
Sat,26,1,15,1,17,18,18,18,45,11,45,11,14,3,1,2,5,11,45,17,18,36,27,-19,borussia dortmund,hannover 96,90,7,14,27,3.16,1.5,5,1
Sat,26,1,15,3,15,18,18,18,36,15,45,11,11,3,4,3,6,9,37,26,18,31,19,-5,borussia mgladbach,augsburg,69,20,14,35,2.5,1.0,2,0
Sat,26,1,18,9,5,18,18,18,25,30,45,11,7,4,7,9,3,6,29,37,29,24,0,13,werder bremen,eintracht frankfurt,35,55,27,20,2.83,1.16,2,2
Sun,20,1,18,14,6,18,17,17,18,28,45,11,5,3,9,8,4,5,20,27,24,22,-4,5,fc schalke 04,wolfsburg,55,35,27,20,2.16,0.83,2,1
Fri,25,1,20,7,12,18,18,18,27,21,45,11,7,6,5,6,3,9,29,22,28,25,1,-3,hertha bsc,fc schalke 04,35,35,41,20,1.83,0.66,2,2
Sat,19,1,15,9,3,18,17,17,24,33,42,11,7,3,7,10,3,4,26,36,29,18,-3,18,bayer 04 leverkusen,borussia mgladbach,62,55,20,14,3.5,1.0,0,1
Sat,26,1,15,13,8,18,18,18,21,25,45,11,5,6,7,6,7,5,22,33,28,26,-6,7,freiburg,1899 hoffenheim,35,35,41,48,3.0,1.16,2,4
Sat,26,1,15,6,11,18,18,18,28,24,45,11,8,4,6,7,3,8,28,26,24,30,4,-4,wolfsburg,bayer 04 leverkusen,55,48,27,20,3.83,1.33,0,3
Sat,19,1,15,16,12,18,17,17,14,21,42,11,4,2,11,5,6,6,12,17,35,22,-23,-5,vfb stuttgart,1 fsv mainz 05,27,27,41,14,2.5,0.83,2,3
Sat,19,1,15,17,10,18,17,17,11,22,42,11,2,5,10,6,4,7,17,28,35,29,-18,-1,hannover 96,werder bremen,7,41,27,20,2.83,1.16,0,1
