Weekday,Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,Team_1_Found,Team_2_Found,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2
Mon,21,1,20,1,20,20,19,19,53,8,53,8,17,2,0,1,8,10,38,14,11,35,27,-21,juventus,chievoverona,95,7,15,51,3.16,1.0,3,0
Sun,20,1,20,2,5,20,19,19,44,32,53,8,14,2,3,9,5,5,37,28,17,21,20,7,napoli,lazio,80,55,13,30,3.33,1.33,2,1
Sat,19,1,20,3,12,20,19,19,39,25,53,8,12,3,4,6,7,6,31,30,14,32,17,-2,inter,sassuolo,73,30,18,42,2.16,1.33,0,0
Sat,19,1,15,6,9,20,19,19,30,27,53,8,8,6,5,6,9,4,34,24,24,19,10,5,roma,torino,42,37,37,55,2.83,0.66,3,2
Sat,26,1,20,4,2,20,20,20,34,47,56,8,9,7,4,15,2,3,28,39,20,18,8,21,milan,napoli,49,80,42,13,3.16,1.5,0,0
Mon,21,1,15,14,7,20,19,19,20,31,53,8,5,5,9,8,7,4,25,26,35,20,-10,6,genoa,milan,30,42,30,42,1.83,0.66,0,2
Sat,26,1,18,8,15,20,20,20,30,18,56,8,8,6,6,4,6,10,35,17,26,25,9,-8,sampdoria,udinese,49,18,30,37,2.0,0.66,4,0
Sat,26,1,15,12,13,20,20,20,26,21,56,8,6,8,6,4,9,7,30,19,32,27,-2,-8,sassuolo,cagliari,37,25,37,42,3.5,1.66,3,0
Sun,20,1,15,11,7,20,19,19,26,29,53,8,6,8,5,8,5,6,25,32,18,23,7,9,fiorentina,sampdoria,49,37,25,42,3.33,1.33,3,3
Sat,19,1,18,10,2,19,18,18,26,32,37,12,7,5,6,8,8,2,25,35,26,24,-1,11,perugia,brescia,37,49,25,42,3.0,1.16,0,2
Sat,19,1,15,4,6,19,18,18,30,29,37,12,8,6,4,8,5,5,30,27,23,21,7,6,lecce,benevento,52,52,33,26,3.0,1.16,1,1
Sat,26,1,15,6,17,19,20,20,30,17,37,15,7,9,4,4,5,11,23,19,18,36,5,-17,cittadella,carpi,33,26,52,33,2.33,1.5,3,1
Wed,23,1,20,4,18,19,19,20,37,11,50,9,11,4,4,4,4,12,29,15,14,40,15,-25,catania,matera,62,20,27,27,2.0,0.5,0,2
Sat,26,1,15,12,8,19,20,20,25,29,37,15,6,7,7,8,5,7,20,28,25,28,-5,0,ascoli,perugia,39,39,33,39,2.16,0.83,0,3
Wed,23,1,14,2,15,20,21,20,37,18,39,12,11,4,6,5,11,4,46,30,28,25,18,5,carrarese,lucchese,58,26,19,58,4.0,1.83,3,1
Sat,19,1,16,1,19,20,20,20,40,18,40,18,11,7,2,2,12,6,30,12,18,16,12,-4,pordenone,albinoleffe,55,13,42,68,1.33,1.16,1,0
Sat,5,1,14,7,3,12,11,11,14,25,28,4,4,2,5,8,1,2,13,38,15,10,-2,28,atalanta mozzanica,fiorentina,25,49,49,25,1.83,0.5,0,6
Sun,20,1,18,15,16,20,20,19,18,17,39,12,5,11,4,4,5,10,30,21,25,26,5,-5,lucchese,pistoiese,20,20,69,35,2.83,1.5,1,0
Sun,21,10,18,3,11,20,8,7,16,12,25,-1,5,1,2,3,3,1,12,15,6,10,6,5,Inter,Milan,60,40,20,50,2.83,0.83,1,0
Sun,21,10,13,9,4,20,8,8,13,15,27,-1,4,1,3,5,0,3,10,11,9,9,1,2,Parma,Lazio,47,63,16,16,2.83,1.5,0,2
Sat,20,10,16,1,12,20,8,7,24,12,24,-1,8,0,0,4,0,3,18,12,5,14,13,-2,Juventus,Genoa,79,31,24,16,3.0,2.16,1,1
