Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
3,1,21,3,20,20,47,54,10,15,2,3,54,16,88,7,1,0,0,0,0,1,0,0,2
2,1,21,15,20,20,18,54,10,4,6,10,15,27,30,30,1,0,0,0,0,0,0,1,0
12,1,18,4,20,21,44,54,10,13,5,3,38,16,68,13,1,0,0,1,0,0,0,0,2
19,1,16,1,20,22,57,57,11,18,3,1,50,10,97,6,1,0,0,1,0,0,0,0,4
2,1,20,4,20,20,43,54,10,13,4,3,38,16,61,13,1,0,0,0,0,0,0,1,0
21,1,20,1,20,19,53,53,8,17,2,0,38,11,95,15,1,0,1,0,0,0,0,0,3
12,1,13,10,20,21,28,54,10,8,4,9,29,32,49,18,1,0,0,1,0,0,0,0,1
3,1,21,18,20,16,15,37,8,3,6,7,17,21,16,47,1,0,0,0,0,1,0,0,2
13,1,18,1,20,19,43,43,11,13,4,2,52,20,69,27,1,0,0,0,1,0,0,0,3
20,1,20,2,20,19,44,53,8,14,2,3,37,17,80,13,1,0,0,0,1,0,0,0,2
19,1,20,3,20,19,39,53,8,12,3,4,31,14,73,18,1,0,0,1,0,0,0,0,0
13,1,15,11,20,21,27,57,11,7,6,8,31,31,42,30,1,0,0,0,1,0,0,0,2
19,1,18,5,20,22,41,57,11,12,5,5,46,32,68,30,1,0,0,1,0,0,0,0,2
18,1,20,7,18,17,25,42,11,6,7,4,32,23,39,46,1,1,0,0,0,0,0,0,1
6,1,20,7,20,17,25,37,11,6,7,4,18,13,35,48,1,0,0,0,1,0,0,0,1
19,1,16,4,20,19,33,43,11,10,3,6,28,24,55,37,1,0,0,1,0,0,0,0,2
25,1,20,7,20,20,31,53,14,9,4,7,33,29,55,20,1,1,0,0,0,0,0,0,1
13,1,20,7,20,18,26,40,11,7,5,6,21,21,42,30,1,0,0,0,1,0,0,0,1
13,1,12,2,20,18,35,40,11,9,8,1,26,13,64,39,1,0,0,0,1,0,0,0,1
6,1,18,5,20,17,30,37,11,9,3,5,26,21,55,14,1,0,0,0,1,0,0,0,0
19,1,15,6,20,19,30,53,8,8,6,5,34,24,42,37,1,0,0,1,0,0,0,0,3
12,1,16,7,20,21,31,54,10,9,4,8,25,23,37,25,1,0,0,1,0,0,0,0,1
26,1,15,1,18,18,45,45,11,14,3,1,45,18,90,14,1,0,0,1,0,0,0,0,5
26,1,20,9,20,20,26,46,11,5,11,4,19,18,25,61,1,0,0,1,0,0,0,0,3
12,1,16,12,20,18,22,40,11,4,10,4,16,16,20,69,1,0,0,1,0,0,0,0,1
2,1,20,20,20,20,10,54,10,2,4,14,12,35,13,18,1,0,0,0,0,0,0,1,1
26,1,15,3,18,18,36,45,11,11,3,4,37,18,69,14,1,0,0,1,0,0,0,0,2
26,1,13,4,20,20,33,46,11,9,6,5,31,22,55,37,1,0,0,1,0,0,0,0,5
26,1,16,2,20,20,41,46,11,11,8,1,30,13,61,42,1,0,0,1,0,0,0,0,2
19,1,16,12,20,22,27,57,11,8,3,11,31,42,42,13,1,0,0,1,0,0,0,0,2
11,1,20,3,20,18,32,47,11,9,5,4,30,21,64,33,1,1,0,0,0,0,0,0,1
26,1,20,4,20,20,34,56,8,9,7,4,28,20,49,42,1,0,0,1,0,0,0,0,0
19,1,16,16,20,22,19,57,11,4,7,11,23,39,25,30,1,0,0,1,0,0,0,0,2
7,1,21,14,20,17,21,40,11,5,6,6,28,26,35,48,1,0,1,0,0,0,0,0,1
2,1,20,12,20,20,26,54,10,8,2,10,28,37,49,18,1,0,0,0,0,0,0,1,3
19,1,17,1,20,18,50,50,14,16,2,0,53,10,77,34,1,0,0,1,0,0,0,0,9
13,1,21,7,20,17,27,50,11,8,3,6,30,26,44,22,1,0,0,0,1,0,0,0,1
12,1,20,19,20,18,17,40,11,3,8,7,19,23,37,42,1,0,0,1,0,0,0,0,1
6,1,16,3,20,17,32,37,11,9,5,3,30,17,62,27,1,0,0,0,1,0,0,0,1
19,1,16,7,20,22,32,57,11,9,5,8,32,32,42,18,1,0,0,1,0,0,0,0,0
12,1,16,17,20,21,18,54,10,5,3,13,19,41,25,13,1,0,0,1,0,0,0,0,0
21,1,15,14,20,19,20,53,8,5,5,9,25,35,30,30,1,0,1,0,0,0,0,0,0
19,1,20,17,20,19,21,43,11,5,6,8,31,32,30,37,1,0,0,1,0,0,0,0,1
19,1,16,18,20,22,18,57,11,4,6,12,16,31,25,13,1,0,0,1,0,0,0,0,3
14,1,21,12,20,18,22,43,11,6,4,8,20,20,42,18,1,0,1,0,0,0,0,0,3
