Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
3,1,21,3,20,20,47,54,10,15,2,3,54,16,88,7,1,0,0,0,0,1,0,0,2
2,1,21,15,20,20,18,54,10,4,6,10,15,27,30,30,1,0,0,0,0,0,0,1,0
12,1,18,4,20,21,44,54,10,13,5,3,38,16,68,13,1,0,0,1,0,0,0,0,2
19,1,16,1,20,22,57,57,11,18,3,1,50,10,97,6,1,0,0,1,0,0,0,0,4
2,1,20,4,20,20,43,54,10,13,4,3,38,16,61,13,1,0,0,0,0,0,0,1,0
12,1,13,10,20,21,28,54,10,8,4,9,29,32,49,18,1,0,0,1,0,0,0,0,1
13,1,15,11,20,21,27,57,11,7,6,8,31,31,42,30,1,0,0,0,1,0,0,0,2
19,1,18,5,20,22,41,57,11,12,5,5,46,32,68,30,1,0,0,1,0,0,0,0,2
12,1,16,7,20,21,31,54,10,9,4,8,25,23,37,25,1,0,0,1,0,0,0,0,1
2,1,20,20,20,20,10,54,10,2,4,14,12,35,13,18,1,0,0,0,0,0,0,1,1
19,1,16,12,20,22,27,57,11,8,3,11,31,42,42,13,1,0,0,1,0,0,0,0,2
19,1,16,16,20,22,19,57,11,4,7,11,23,39,25,30,1,0,0,1,0,0,0,0,2
2,1,20,12,20,20,26,54,10,8,2,10,28,37,49,18,1,0,0,0,0,0,0,1,3
19,1,16,7,20,22,32,57,11,9,5,8,32,32,42,18,1,0,0,1,0,0,0,0,0
12,1,16,17,20,21,18,54,10,5,3,13,19,41,25,13,1,0,0,1,0,0,0,0,0
19,1,16,18,20,22,18,57,11,4,6,12,16,31,25,13,1,0,0,1,0,0,0,0,3
12,1,16,14,20,21,22,54,10,6,4,11,19,26,42,18,1,0,0,1,0,0,0,0,1
1,1,13,10,20,20,27,54,10,7,6,7,31,30,49,25,1,0,0,0,0,0,1,0,0
18,1,20,3,24,27,50,54,18,14,8,5,49,35,70,20,1,1,0,0,0,0,0,0,3
11,1,20,1,24,26,51,51,15,15,6,5,44,28,60,30,1,1,0,0,0,0,0,0,2
1,1,16,9,24,25,37,51,15,9,10,6,47,38,45,20,1,0,0,0,0,0,1,0,2
1,1,16,10,24,25,36,51,15,8,12,5,35,27,45,45,1,0,0,0,0,0,1,0,4
19,1,16,5,24,27,46,54,18,12,10,5,30,19,55,35,1,0,0,1,0,0,0,0,1
1,1,16,14,24,25,33,51,15,9,6,10,30,33,35,30,1,0,0,0,0,0,1,0,6
1,1,16,18,24,25,27,51,15,6,9,10,35,35,30,35,1,0,0,0,0,0,1,0,1
26,1,16,21,24,28,25,54,18,5,10,13,27,46,25,50,1,0,0,1,0,0,0,0,1
22,1,20,24,24,29,23,57,23,6,5,18,22,44,40,30,1,0,0,0,0,0,1,0,0
19,1,16,6,24,27,43,54,18,12,7,8,38,34,52,29,1,0,0,1,0,0,0,0,2
1,1,16,6,24,25,42,51,15,12,6,7,37,31,55,40,1,0,0,0,0,0,1,0,1
1,1,16,24,24,25,15,51,15,2,9,14,19,43,11,45,1,0,0,0,0,0,1,0,2
26,1,16,8,24,29,43,57,18,11,10,8,40,41,40,30,1,0,0,1,0,0,0,0,3
19,1,16,14,24,27,37,54,18,9,10,8,35,41,35,45,1,0,0,1,0,0,0,0,2
19,1,16,12,24,27,38,54,18,9,11,7,49,43,40,30,1,0,0,1,0,0,0,0,2
12,1,16,11,24,26,38,54,15,10,8,8,32,28,40,30,1,0,0,1,0,0,0,0,2
1,1,16,5,24,25,44,54,21,12,8,5,45,31,50,40,1,0,0,0,0,0,1,0,0
1,1,16,1,24,25,54,54,21,16,6,3,44,23,75,30,1,0,0,0,0,0,1,0,2
22,1,20,7,24,27,44,55,21,11,11,5,40,27,52,37,1,0,0,0,0,0,1,0,3
19,1,16,8,24,27,39,54,18,9,12,6,39,31,40,30,1,0,0,1,0,0,0,0,0
15,1,20,5,24,26,45,52,21,11,12,3,37,20,47,58,1,0,0,0,0,0,1,0,1
1,1,16,23,24,25,20,50,20,5,5,15,21,41,38,34,1,0,0,0,0,0,1,0,1
1,1,16,16,24,25,31,51,15,8,7,10,31,41,30,50,1,0,0,0,0,0,1,0,1
1,1,16,22,24,25,22,51,15,4,10,11,23,40,25,45,1,0,0,0,0,0,1,0,2
26,1,16,9,24,29,42,57,18,10,12,7,42,33,45,45,1,0,0,1,0,0,0,0,3
26,1,16,5,24,27,52,57,23,15,7,5,47,23,48,29,1,0,0,1,0,0,0,0,2
19,1,16,11,24,27,39,54,18,11,6,10,33,35,50,20,1,0,0,1,0,0,0,0,1
