Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Goals
25,1,20,7,20,20,31,53,14,9,4,7,33,29,55,20,1,1,0,0,0,0,0,1
11,1,20,3,20,18,32,47,11,9,5,4,30,21,64,33,1,1,0,0,0,0,0,1
19,1,17,1,20,18,50,50,14,16,2,0,53,10,77,34,1,0,0,1,0,0,0,9
13,1,21,7,20,17,27,50,11,8,3,6,30,26,44,22,1,0,0,0,1,0,0,1
20,1,17,16,20,20,18,53,14,3,9,8,20,28,20,55,1,0,0,0,1,0,0,0
20,1,21,3,20,20,36,53,14,10,6,4,31,23,49,37,1,0,0,0,1,0,0,1
16,1,19,19,20,19,14,50,11,3,5,11,17,30,42,30,1,0,0,0,0,0,1,1
12,1,20,20,20,18,11,47,11,2,5,11,14,34,14,35,1,0,0,1,0,0,0,0
20,1,19,12,20,19,25,53,14,6,7,6,22,22,41,35,1,0,0,0,1,0,0,1
16,1,19,14,20,19,21,50,11,5,6,8,18,29,30,37,1,0,0,0,0,0,1,2
11,1,19,16,20,19,18,47,11,3,9,7,19,25,18,55,1,1,0,0,0,0,0,1
12,1,20,10,20,18,26,47,11,7,5,6,13,17,44,29,1,0,0,1,0,0,0,1
16,1,21,4,20,19,33,50,11,9,6,4,29,22,58,33,1,0,0,0,0,0,1,2
8,1,19,14,20,17,20,47,11,5,5,7,24,25,35,35,1,0,0,0,0,1,0,2
20,1,17,15,20,19,20,53,14,4,8,7,21,24,37,25,1,0,0,0,1,0,0,1
19,1,20,10,20,20,27,50,14,6,9,5,16,19,30,49,1,0,0,1,0,0,0,1
15,1,19,15,20,18,20,50,11,4,8,6,20,22,26,46,1,0,0,0,0,1,0,1
26,1,20,20,20,21,14,53,14,3,5,13,16,45,18,30,1,0,0,1,0,0,0,0
21,1,20,5,20,20,35,44,13,9,8,3,20,12,73,25,1,0,1,0,0,0,0,0
18,1,20,1,20,19,44,44,13,14,2,3,33,12,84,6,1,1,0,0,0,0,0,1
18,1,20,4,20,20,34,44,13,9,7,4,26,17,42,42,1,1,0,0,0,0,0,0
26,1,15,2,20,22,45,45,16,13,6,3,38,19,68,30,1,0,0,1,0,0,0,1
25,1,20,20,20,20,13,44,13,3,4,13,12,28,13,26,1,1,0,0,0,0,0,1
18,1,20,17,20,20,20,44,13,6,2,12,15,26,37,30,1,1,0,0,0,0,0,0
12,1,15,2,20,19,38,44,13,11,5,3,35,18,68,30,1,0,0,1,0,0,0,1
11,1,20,9,20,19,29,41,13,7,8,4,21,14,49,30,1,1,0,0,0,0,0,3
19,1,14,5,20,20,32,44,13,9,5,6,27,17,52,33,1,0,0,1,0,0,0,2
18,1,20,11,20,20,26,44,13,7,5,8,24,18,37,25,1,1,0,0,0,0,0,3
11,1,20,18,20,18,17,41,13,4,5,9,22,32,33,13,1,1,0,0,0,0,0,1
11,1,20,14,20,19,22,41,13,6,4,9,17,28,42,25,1,1,0,0,0,0,0,0
