Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Goals
18,1,20,7,18,17,25,42,11,6,7,4,32,23,39,46,1,1,0,0,0,0,0,1
26,1,15,1,18,18,45,45,11,14,3,1,45,18,90,14,1,0,0,1,0,0,0,5
26,1,15,3,18,18,36,45,11,11,3,4,37,18,69,14,1,0,0,1,0,0,0,2
26,1,18,9,18,18,25,45,11,7,4,7,29,29,35,27,1,0,0,1,0,0,0,2
20,1,18,14,18,17,18,45,11,5,3,9,20,24,55,27,1,0,0,0,1,0,0,2
25,1,20,7,18,18,27,45,11,7,6,5,29,28,35,41,1,1,0,0,0,0,0,2
19,1,15,9,18,17,24,42,11,7,3,7,26,29,62,20,1,0,0,1,0,0,0,0
26,1,15,13,18,18,21,45,11,5,6,7,22,28,35,41,1,0,0,1,0,0,0,2
26,1,15,6,18,18,28,45,11,8,4,6,28,24,55,27,1,0,0,1,0,0,0,0
19,1,15,16,18,17,14,42,11,4,2,11,12,35,27,41,1,0,0,1,0,0,0,2
19,1,15,17,18,17,11,42,11,2,5,10,17,35,7,27,1,0,0,1,0,0,0,0
27,10,13,12,18,8,9,20,5,2,3,3,4,8,37,37,1,0,0,1,0,0,0,1
21,10,16,5,18,7,14,20,5,4,2,1,15,9,55,27,1,0,0,0,1,0,0,4
20,10,13,17,18,7,5,17,5,1,2,4,6,13,63,31,1,0,0,1,0,0,0,0
27,10,16,9,18,8,10,20,5,3,1,4,14,13,79,0,1,0,0,1,0,0,0,4
21,10,13,6,18,7,14,20,5,4,2,1,12,7,49,37,1,0,0,0,1,0,0,1
20,10,13,9,18,7,9,17,5,2,3,2,10,11,22,22,1,0,0,1,0,0,0,1
28,10,17,4,18,8,17,21,5,5,2,1,15,8,61,25,1,0,0,0,1,0,0,2
26,10,18,11,18,8,9,20,5,2,3,3,10,14,13,25,1,1,0,0,0,0,0,3
22,10,18,17,18,9,5,20,5,1,2,6,9,18,33,33,1,0,1,0,0,0,0,0
20,10,16,15,18,7,6,17,5,2,0,5,5,9,82,27,1,0,0,1,0,0,0,0
1,10,18,17,18,7,5,19,2,1,2,4,7,15,24,31,1,0,1,0,0,0,0,1
27,10,13,15,18,8,6,20,5,1,3,4,10,16,0,55,1,0,0,1,0,0,0,1
28,10,12,5,18,10,18,21,5,4,6,0,14,7,30,50,1,0,0,0,1,0,0,0
21,10,11,4,18,9,17,20,5,5,2,2,12,11,63,16,1,0,0,0,1,0,0,0
19,10,16,9,18,9,13,19,5,4,1,4,12,10,33,11,1,1,0,0,0,0,0,1
19,10,16,17,18,9,5,19,5,1,2,6,5,14,8,42,1,1,0,0,0,0,0,4
21,10,11,7,18,9,15,20,5,4,3,2,19,15,37,49,1,0,0,0,1,0,0,0
29,10,18,18,20,12,12,26,8,3,3,6,14,18,25,25,1,0,1,0,0,0,0,1
26,10,17,11,18,15,18,36,9,3,9,3,18,18,42,61,1,1,0,0,0,0,0,2
16,10,17,7,20,10,16,22,8,5,1,4,12,10,59,26,1,0,0,0,0,1,0,0
10,11,17,1,18,10,24,24,5,7,3,0,30,10,73,9,1,0,0,1,0,0,0,3
25,11,17,3,18,11,23,30,8,7,2,2,26,13,69,27,1,0,0,0,1,0,0,4
24,11,14,9,18,11,15,27,8,4,3,4,10,12,22,33,1,0,0,1,0,0,0,1
11,11,17,6,18,10,17,27,8,5,2,3,23,13,44,11,1,0,0,0,1,0,0,3
9,11,19,16,18,10,6,24,5,1,3,6,12,21,27,14,1,1,0,0,0,0,0,2
24,11,17,14,18,11,10,27,8,3,1,7,8,15,61,13,1,0,0,1,0,0,0,5
10,11,14,6,18,10,17,24,5,5,2,3,18,16,94,16,1,0,0,1,0,0,0,1
24,11,14,11,18,12,13,28,8,3,4,5,19,19,17,42,1,0,0,1,0,0,0,1
24,11,14,8,18,12,16,28,8,4,4,4,17,19,37,37,1,0,0,1,0,0,0,3
4,11,17,15,18,9,9,24,5,2,3,4,5,10,33,33,1,0,0,0,1,0,0,2
3,11,14,12,18,10,11,24,5,3,2,5,16,20,55,22,1,0,0,1,0,0,0,1
25,11,14,13,18,11,13,30,8,3,4,4,15,19,13,37,1,0,0,0,1,0,0,1
10,11,14,10,18,10,13,24,5,3,4,3,14,16,25,49,1,0,0,1,0,0,0,1
10,11,14,15,18,10,10,24,5,2,4,4,11,22,25,37,1,0,0,1,0,0,0,0
3,11,14,13,18,10,10,24,5,3,1,6,7,12,41,14,1,0,0,1,0,0,0,3
5,11,19,3,18,11,21,22,7,6,3,2,13,11,44,33,1,0,1,0,0,0,0,1
2,11,17,11,18,11,15,21,6,4,3,4,13,11,27,27,1,1,0,0,0,0,0,3
24,11,12,7,18,14,20,27,8,5,5,4,22,16,46,27,1,0,0,1,0,0,0,2
23,11,17,14,18,13,13,27,8,3,4,6,16,21,37,37,1,1,0,0,0,0,0,0
9,11,17,16,18,12,9,24,7,2,3,7,13,20,18,55,1,1,0,0,0,0,0,0
