Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
21,1,20,1,20,19,53,53,8,17,2,0,38,11,95,15,1,0,1,0,0,0,0,0,3
20,1,20,2,20,19,44,53,8,14,2,3,37,17,80,13,1,0,0,0,1,0,0,0,2
19,1,20,3,20,19,39,53,8,12,3,4,31,14,73,18,1,0,0,1,0,0,0,0,0
19,1,15,6,20,19,30,53,8,8,6,5,34,24,42,37,1,0,0,1,0,0,0,0,3
26,1,20,4,20,20,34,56,8,9,7,4,28,20,49,42,1,0,0,1,0,0,0,0,0
21,1,15,14,20,19,20,53,8,5,5,9,25,35,30,30,1,0,1,0,0,0,0,0,0
26,1,18,8,20,20,30,56,8,8,6,6,35,26,49,30,1,0,0,1,0,0,0,0,4
26,1,15,12,20,20,26,56,8,6,8,6,30,32,37,37,1,0,0,1,0,0,0,0,3
20,1,15,11,20,19,26,53,8,6,8,5,25,18,49,25,1,0,0,0,1,0,0,0,3
19,1,18,10,19,18,26,37,12,7,5,6,25,26,37,25,1,0,0,1,0,0,0,0,0
19,1,15,4,19,18,30,37,12,8,6,4,30,23,52,33,1,0,0,1,0,0,0,0,1
26,1,15,6,19,20,30,37,15,7,9,4,23,18,33,52,1,0,0,1,0,0,0,0,3
23,1,20,4,19,19,37,50,9,11,4,4,29,14,62,27,1,0,0,0,0,0,0,1,0
26,1,15,12,19,20,25,37,15,6,7,7,20,25,39,33,1,0,0,1,0,0,0,0,0
23,1,14,2,20,21,37,39,12,11,4,6,46,28,58,19,1,0,0,0,0,0,0,1,3
19,1,16,1,20,20,40,40,18,11,7,2,30,18,55,42,1,0,0,1,0,0,0,0,1
5,1,14,7,12,11,14,28,4,4,2,5,13,15,25,49,1,0,0,1,0,0,0,0,0
20,1,18,15,20,20,18,39,12,5,11,4,30,25,20,69,1,0,0,0,1,0,0,0,1
21,10,18,3,20,8,16,25,-1,5,1,2,12,6,60,20,1,0,0,0,1,0,0,0,1
21,10,13,9,20,8,13,27,-1,4,1,3,10,9,47,16,1,0,0,0,1,0,0,0,0
20,10,16,1,20,8,24,24,-1,8,0,0,18,5,79,24,1,0,0,1,0,0,0,0,1
28,10,19,2,20,9,21,28,-1,7,0,2,18,10,66,33,1,0,0,0,1,0,0,0,1
29,10,19,4,20,9,18,28,-1,6,0,3,13,9,55,33,1,0,1,0,0,0,0,0,0
22,10,18,6,20,8,14,25,-1,4,2,2,12,4,13,13,1,0,1,0,0,0,0,0,0
20,10,18,15,20,8,8,24,-1,2,2,4,8,10,11,20,1,0,0,1,0,0,0,0,0
31,10,19,7,20,9,15,28,-1,4,3,2,18,13,47,47,1,0,0,0,0,0,0,1,2
27,10,16,18,20,9,6,25,-1,1,3,5,8,13,18,18,1,0,0,1,0,0,0,0,1
21,10,16,7,20,8,13,25,-1,4,1,3,14,6,60,11,1,0,0,0,1,0,0,0,1
28,10,17,13,20,8,12,28,-1,3,3,2,15,11,33,22,1,0,0,0,1,0,0,0,3
27,10,13,15,20,9,9,25,-1,2,3,4,14,12,55,14,1,0,0,1,0,0,0,0,3
21,10,13,20,20,8,-1,25,-1,0,2,6,6,19,26,17,1,0,0,0,1,0,0,0,1
28,10,11,8,20,9,14,25,-1,4,2,3,15,14,46,37,1,0,0,0,1,0,0,0,2
21,10,13,16,20,8,7,25,-1,2,1,5,4,10,0,37,1,0,0,0,1,0,0,0,2
28,10,14,10,20,8,13,28,-1,4,1,3,13,15,37,15,1,0,0,0,1,0,0,0,2
27,10,18,9,20,9,13,25,-1,3,4,2,11,11,64,9,1,0,0,1,0,0,0,0,1
28,10,14,15,20,9,10,28,-1,2,4,3,7,10,31,24,1,0,0,0,1,0,0,0,2
30,10,20,18,19,8,5,18,5,1,2,5,7,14,20,40,1,0,0,0,0,0,1,0,0
19,10,19,4,19,7,12,15,2,4,0,3,10,9,22,37,1,1,0,0,0,0,0,0,1
20,10,16,12,19,7,7,18,2,2,1,4,9,11,22,44,1,0,0,1,0,0,0,0,2
1,10,19,14,19,5,5,13,1,1,2,2,4,7,66,22,1,0,1,0,0,0,0,0,2
21,10,13,9,19,8,11,18,2,2,5,1,7,7,33,44,1,0,0,0,1,0,0,0,2
21,10,19,4,19,7,12,18,2,3,3,1,13,8,55,55,1,0,0,0,1,0,0,0,1
20,10,13,2,19,7,13,18,2,4,1,2,9,3,46,46,1,0,0,1,0,0,0,0,2
15,10,18,5,20,4,8,13,1,2,2,0,3,1,55,33,1,0,1,0,0,0,0,0,2
16,10,16,4,19,5,9,16,0,3,0,2,8,3,33,33,1,0,0,0,0,0,1,0,0
11,11,19,4,20,11,21,31,-1,6,3,2,21,14,50,40,1,0,0,0,1,0,0,0,0
10,11,19,13,20,11,14,31,-1,4,2,5,16,24,26,26,1,0,0,1,0,0,0,0,1
2,11,19,2,20,11,25,28,-1,8,1,2,24,12,69,41,1,1,0,0,0,0,0,0,5
3,11,19,1,20,10,28,28,-1,9,1,0,21,7,93,8,1,0,0,1,0,0,0,0,3
3,11,14,3,20,10,22,28,-1,7,1,2,16,6,59,22,1,0,0,1,0,0,0,0,5
11,11,14,6,20,12,19,31,2,5,4,3,19,14,55,39,1,0,0,0,1,0,0,0,4
11,11,11,11,20,11,15,31,-1,4,3,4,19,13,51,26,1,0,0,0,1,0,0,0,4
24,11,14,18,20,12,9,34,0,2,3,7,11,18,26,17,1,0,0,1,0,0,0,0,1
4,11,19,17,20,10,9,31,-1,2,3,5,10,15,31,24,1,0,0,0,1,0,0,0,0
25,11,17,4,20,12,22,37,0,7,1,4,18,14,55,27,1,0,0,0,1,0,0,0,1
25,11,14,2,20,12,28,37,0,9,1,2,26,13,55,44,1,0,0,0,1,0,0,0,0
25,11,14,18,20,12,9,37,0,2,3,7,12,21,27,27,1,0,0,0,1,0,0,0,3
3,11,17,6,20,10,15,28,-1,4,3,3,16,8,77,22,1,0,0,1,0,0,0,0,1
11,11,14,20,20,11,-1,31,-1,0,2,9,8,28,17,26,1,0,0,0,1,0,0,0,2
4,11,14,20,20,11,0,31,0,0,3,8,8,26,29,15,1,0,0,0,1,0,0,0,0
25,11,14,17,20,12,10,37,0,2,4,6,11,18,8,34,1,0,0,0,1,0,0,0,0
26,11,19,14,20,12,14,37,1,3,5,4,12,16,40,30,1,0,1,0,0,0,0,0,0
25,11,19,14,20,12,14,37,1,4,2,6,17,26,26,8,1,0,0,0,1,0,0,0,1
11,11,14,19,20,11,6,31,-1,1,3,7,10,20,14,27,1,0,0,0,1,0,0,0,2
4,11,17,17,20,10,9,31,-1,2,3,5,8,14,8,42,1,0,0,0,1,0,0,0,1
23,11,20,7,19,12,18,24,5,5,3,4,15,15,49,25,1,1,0,0,0,0,0,0,1
