Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
3,1,21,18,20,16,15,37,8,3,6,7,17,21,16,47,1,0,0,0,0,1,0,0,2
13,1,18,1,20,19,43,43,11,13,4,2,52,20,69,27,1,0,0,0,1,0,0,0,3
6,1,20,7,20,17,25,37,11,6,7,4,18,13,35,48,1,0,0,0,1,0,0,0,1
19,1,16,4,20,19,33,43,11,10,3,6,28,24,55,37,1,0,0,1,0,0,0,0,2
13,1,20,7,20,18,26,40,11,7,5,6,21,21,42,30,1,0,0,0,1,0,0,0,1
13,1,12,2,20,18,35,40,11,9,8,1,26,13,64,39,1,0,0,0,1,0,0,0,1
6,1,18,5,20,17,30,37,11,9,3,5,26,21,55,14,1,0,0,0,1,0,0,0,0
26,1,20,9,20,20,26,46,11,5,11,4,19,18,25,61,1,0,0,1,0,0,0,0,3
12,1,16,12,20,18,22,40,11,4,10,4,16,16,20,69,1,0,0,1,0,0,0,0,1
26,1,13,4,20,20,33,46,11,9,6,5,31,22,55,37,1,0,0,1,0,0,0,0,5
26,1,16,2,20,20,41,46,11,11,8,1,30,13,61,42,1,0,0,1,0,0,0,0,2
7,1,21,14,20,17,21,40,11,5,6,6,28,26,35,48,1,0,1,0,0,0,0,0,1
12,1,20,19,20,18,17,40,11,3,8,7,19,23,37,42,1,0,0,1,0,0,0,0,1
6,1,16,3,20,17,32,37,11,9,5,3,30,17,62,27,1,0,0,0,1,0,0,0,1
19,1,20,17,20,19,21,43,11,5,6,8,31,32,30,37,1,0,0,1,0,0,0,0,1
14,1,21,12,20,18,22,43,11,6,4,8,20,20,42,18,1,0,1,0,0,0,0,0,3
4,1,19,10,20,17,22,37,8,6,4,7,28,32,26,46,1,1,0,0,0,0,0,0,2
5,1,13,12,20,17,21,37,8,5,6,6,16,19,35,35,1,0,0,1,0,0,0,0,0
21,1,21,16,20,19,22,46,11,5,7,7,21,28,24,47,1,0,1,0,0,0,0,0,3
20,1,18,12,20,19,23,43,11,6,5,8,30,35,37,30,1,0,0,0,1,0,0,0,2
20,1,16,19,20,19,17,43,11,3,8,8,20,25,18,61,1,0,0,0,1,0,0,0,1
20,1,18,18,20,19,19,43,11,5,4,10,22,34,30,18,1,0,0,0,1,0,0,0,2
6,1,12,13,20,17,21,37,11,5,6,6,21,25,35,41,1,0,0,0,1,0,0,0,0
25,1,21,17,22,22,23,43,16,5,8,9,24,30,44,27,1,1,0,0,0,0,0,0,2
7,1,18,14,22,19,22,39,16,5,7,7,20,23,29,29,1,0,1,0,0,0,0,0,2
19,1,20,3,22,21,39,40,16,12,3,6,24,16,38,38,1,0,0,1,0,0,0,0,2
13,1,18,15,22,20,22,40,16,5,7,8,22,26,33,44,1,0,0,0,1,0,0,0,0
26,1,18,17,22,23,25,43,16,5,10,8,22,29,22,38,1,0,0,1,0,0,0,0,1
20,1,12,4,22,22,38,42,16,11,5,6,29,24,49,27,1,0,0,0,1,0,0,0,2
13,1,16,6,22,20,34,40,16,10,4,6,22,15,66,22,1,0,0,0,1,0,0,0,0
12,1,20,12,22,20,27,40,16,7,6,7,23,26,38,27,1,0,0,1,0,0,0,0,1
20,1,16,12,22,21,27,42,16,6,9,6,20,18,60,22,1,0,0,0,1,0,0,0,2
19,1,18,13,22,22,26,42,16,6,8,8,26,29,22,38,1,0,0,1,0,0,0,0,3
19,1,16,10,22,21,29,40,16,7,8,6,25,21,49,27,1,0,0,1,0,0,0,0,0
6,1,18,6,20,19,29,38,15,7,8,4,22,16,30,49,1,0,0,0,1,0,0,0,1
5,1,10,5,16,15,25,42,9,8,1,6,25,18,0,0,1,0,0,1,0,0,0,0,1
27,10,18,5,20,9,16,18,5,4,4,1,10,5,47,31,1,0,0,1,0,0,0,0,2
20,10,18,3,20,8,15,17,5,4,3,1,19,9,46,18,1,0,0,1,0,0,0,0,4
20,10,16,16,20,8,8,16,5,2,2,4,6,7,50,20,1,0,0,1,0,0,0,0,1
21,10,18,9,20,8,12,18,5,3,3,2,5,6,27,55,1,0,0,0,1,0,0,0,0
1,10,19,8,20,6,9,14,4,2,3,1,11,9,31,47,1,0,1,0,0,0,0,0,1
27,10,16,13,20,9,10,18,5,2,4,3,13,13,30,30,1,0,0,1,0,0,0,0,4
21,10,14,13,20,8,10,18,5,3,1,4,9,12,22,22,1,0,0,0,1,0,0,0,1
28,10,11,11,20,9,12,18,5,3,3,3,8,8,60,20,1,0,0,0,1,0,0,0,2
20,10,11,5,20,8,14,17,5,4,2,2,12,7,68,26,1,0,0,1,0,0,0,0,1
26,10,19,6,20,9,15,18,5,4,3,2,8,6,55,41,1,1,0,0,0,0,0,0,1
21,10,10,19,20,7,5,18,5,1,2,4,7,15,0,55,1,0,0,0,1,0,0,0,1
27,10,14,17,20,9,9,18,5,1,6,2,11,15,30,20,1,0,0,1,0,0,0,0,0
8,10,19,12,22,7,9,19,5,2,3,2,10,8,80,11,1,0,1,0,0,0,0,0,1
28,10,11,22,22,10,6,23,6,1,3,6,6,17,42,17,1,0,0,0,1,0,0,0,2
13,10,18,12,22,8,10,22,6,2,4,2,9,10,82,0,1,0,0,1,0,0,0,0,1
